tag,frequency
c#,333823
java,277652
php,257277
javascript,241862
android,210799
jquery,207102
iphone,143258
c++,139459
asp.net,132156
.net,124773
python,122708
mysql,109680
html,108311
objective-c,94946
sql,89496
css,84293
ruby-on-rails,82342
ios,80350
c,65820
ruby,51086
wpf,49372
sql-server,48691
xml,45742
ajax,42631
regex,40434
asp.net-mvc,39333
database,38983
django,36155
windows,36071
xcode,35419
linux,34987
vb.net,33209
arrays,32763
facebook,30400
ruby-on-rails-3,29892
eclipse,29781
json,27867
winforms,27318
multithreading,26659
string,26311
asp.net-mvc-3,25293
visual-studio-2010,24114
wcf,23598
performance,23101
osx,22192
image,22129
visual-studio,22115
silverlight,21851
linq,21683
web-services,21406
algorithm,21326
actionscript-3,20748
cocoa-touch,20571
forms,20295
flash,20184
cocoa,20057
perl,19919
ipad,19855
homework,19647
oracle,19495
html5,18286
flex,18281
wordpress,18274
sql-server-2008,18172
spring,17993
git,17978
apache,17590
query,17565
hibernate,17208
swing,16958
entity-framework,16214
security,16190
delphi,16144
excel,15580
r,15270
jquery-ui,14879
file,14843
tsql,14838
api,14648
sqlite,14368
oop,14362
qt,14195
internet-explorer,14170
unit-testing,13880
bash,13857
debugging,13752
sql-server-2005,13718
mvc,13461
svn,12843
google-app-engine,12811
validation,12755
visual-studio-2008,12751
windows-phone-7,12571
winapi,12553
list,12405
http,12380
class,12376
.htaccess,12282
parsing,12227
zend-framework,12130
sockets,11992
nhibernate,11920
codeigniter,11800
function,11763
jsp,11583
email,11507
events,11480
sharepoint,11187
postgresql,11079
uitableview,10974
node.js,10890
google-maps,10867
templates,10840
matlab,10799
xaml,10654
shell,10537
scala,10198
design-patterns,10182
url,10101
session,10064
visual-c++,10028
jsf,10004
firefox,9983
cakephp,9850
drupal,9778
design,9652
c#-4.0,9644
facebook-graph-api,9549
gwt,9519
listview,9479
exception,9478
linq-to-sql,9472
generics,9464
magento,9461
rest,9439
authentication,9361
unix,9333
table,9295
gui,9235
java-ee,9221
mongodb,9220
google-chrome,9210
android-layout,9168
vba,9162
iis,9135
caching,9128
math,9123
ms-access,9082
xslt,8996
search,8964
variables,8942
dom,8927
jquery-ajax,8905
google,8853
datetime,8794
date,8770
testing,8766
sorting,8691
database-design,8675
tomcat,8657
ios5,8600
networking,8488
pdf,8331
optimization,8163
php5,8159
core-data,8154
asp.net-mvc-2,8031
grails,8028
opengl,7980
memory,7962
object,7948
inheritance,7881
web-applications,7860
servlets,7824
activerecord,7821
data-binding,7804
audio,7794
mod-rewrite,7782
animation,7779
maven,7732
haskell,7663
pointers,7582
layout,7580
application,7573
logging,7552
serialization,7474
redirect,7470
vim,7372
memory-management,7328
gcc,7326
post,7317
video,7175
select,7146
mobile,7135
iphone-sdk-4.0,7112
jpa,7111
css3,7108
stored-procedures,7106
loops,7089
button,7083
jquery-plugins,7012
div,6967
blackberry,6922
plugins,6892
gridview,6867
iframe,6853
reflection,6837
dynamic,6788
ubuntu,6764
cookies,6637
boost,6602
browser,6582
image-processing,6531
soap,6527
spring-mvc,6477
powershell,6436
dll,6428
deployment,6410
netbeans,6403
